ROI,Subject,Effect, LocalizerSize,EffectSize
LIFGorb,430_FED_20170823a_3T2_PL2017,agt, 37,0.589059
LIFGorb,430_FED_20170823a_3T2_PL2017,pat, 37,0.863272
LIFGorb,632_FED_20170825a_3T2_PL2017,agt, 37,0.233931
LIFGorb,632_FED_20170825a_3T2_PL2017,pat, 37,0.238608
LIFGorb,641_FED_20170824a_3T2_PL2017,agt, 37,0.073574
LIFGorb,641_FED_20170824a_3T2_PL2017,pat, 37,0.023351
LIFG,430_FED_20170823a_3T2_PL2017,agt, 74,0.976718
LIFG,430_FED_20170823a_3T2_PL2017,pat, 74,1.154251
LIFG,632_FED_20170825a_3T2_PL2017,agt, 74,-0.063663
LIFG,632_FED_20170825a_3T2_PL2017,pat, 74,0.051821
LIFG,641_FED_20170824a_3T2_PL2017,agt, 74,-0.047223
LIFG,641_FED_20170824a_3T2_PL2017,pat, 74,0.219744
LMFG,430_FED_20170823a_3T2_PL2017,agt, 46,0.548882
LMFG,430_FED_20170823a_3T2_PL2017,pat, 46,0.914074
LMFG,632_FED_20170825a_3T2_PL2017,agt, 46,0.614200
LMFG,632_FED_20170825a_3T2_PL2017,pat, 46,0.647733
LMFG,641_FED_20170824a_3T2_PL2017,agt, 46,-0.015106
LMFG,641_FED_20170824a_3T2_PL2017,pat, 46,0.332657
LAntTemp,430_FED_20170823a_3T2_PL2017,agt, 162,-0.060553
LAntTemp,430_FED_20170823a_3T2_PL2017,pat, 162,0.558119
LAntTemp,632_FED_20170825a_3T2_PL2017,agt, 162,-0.066823
LAntTemp,632_FED_20170825a_3T2_PL2017,pat, 162,-0.138879
LAntTemp,641_FED_20170824a_3T2_PL2017,agt, 162,0.104194
LAntTemp,641_FED_20170824a_3T2_PL2017,pat, 162,0.073497
LPostTemp,430_FED_20170823a_3T2_PL2017,agt, 294,0.396748
LPostTemp,430_FED_20170823a_3T2_PL2017,pat, 294,0.926379
LPostTemp,632_FED_20170825a_3T2_PL2017,agt, 294,0.403118
LPostTemp,632_FED_20170825a_3T2_PL2017,pat, 294,0.405494
LPostTemp,641_FED_20170824a_3T2_PL2017,agt, 294,0.028517
LPostTemp,641_FED_20170824a_3T2_PL2017,pat, 294,0.126503
LAngG,430_FED_20170823a_3T2_PL2017,agt, 64,-0.135596
LAngG,430_FED_20170823a_3T2_PL2017,pat, 64,0.823275
LAngG,632_FED_20170825a_3T2_PL2017,agt, 64,0.429210
LAngG,632_FED_20170825a_3T2_PL2017,pat, 64,0.498086
LAngG,641_FED_20170824a_3T2_PL2017,agt, 64,-0.072521
LAngG,641_FED_20170824a_3T2_PL2017,pat, 64,0.116719
